user_name,user_location,user_followers,user_friends,user_verified,date,text,hashtags,source,language,is_retweet
de Minister van Vreemde Zaken,De bunkers van het ministerie,1063,1317,False,2021-04-30 09:48:19,'We willen het oplossen voor de mensen en ze compenseren'. Oplossen mijn reet #toeslagenaffaire,['toeslagenaffaire'],TweetDeck,nl,False
Pluk van de Petteflet ❌,,65,8,False,2021-04-30 09:47:47,"""Lang niet iedereen bleek recht te hebben""

'Nee maar'
€ 30.000 heel aantrekkelijke pot #gratisGeld.

Zoals al die #toeslagen.
#toeslagenfraude #uitkeringsfraude
#zorgfraude #asielfraude
#Polenfraude #Bulgarenfraude

#toeslagenschandaal #toeslagenaffaire
https://t.co/fd8NcbzuNz",['gratisGeld'],Twitter Web App,nl,False
aad van winden,,249,491,False,2021-04-30 09:46:00,"Geweldige humor, met een vieze bijsmaak #huffelen #toeslagenaffaire https://t.co/HATSGuae9Y","['huffelen', 'toeslagenaffaire']",Twitter Web App,nl,False
HansG,Netherlands,554,703,False,2021-04-30 09:43:28,Vinger op de zere plek bij #d66 #groenlinks #pvda #cda #vvd https://t.co/YogcQyjr3y #notulendebat #toeslagenaffaire,"['d66', 'groenlinks', 'pvda', 'cda', 'vvd', 'notulendebat', 'toeslagenaffaire']",Twitter Web App,nl,False
Hare Koninklijke Narigheid.,Where my iphone meets Wifi ,840,731,False,2021-04-30 09:42:00,"Wat gaat er nu door jou heen als VVD, CDA of D66 stemmer? 

""Laat die plebs maar janken, we zitten er nog steeds, motie na motie?""
#DTV #notulendebat #toeslagenaffaire",,Twitter Web App,nl,False
de Minister van Vreemde Zaken,De bunkers van het ministerie,1063,1317,False,2021-04-30 09:40:52,@msbeintema @toeslagherstel @missmica9 Alles wat ik daar naar toestuurde is kennelijk in een zwart gat verdwenen #toeslagenaffaire  1x is er iets aangekomen. Konden ze de volgende keer ook niet meer vinden.,,TweetDeck,nl,False
de Minister van Vreemde Zaken,De bunkers van het ministerie,1063,1317,False,2021-04-30 09:35:51,Verdomme WEER genaaid door de overheid @AvHuffelen @toeslagherstel Weer een dooie mus. WEER. #toeslagenaffaire,['toeslagenaffaire'],TweetDeck,nl,False
Marijke Beintema,Utrecht,209,251,False,2021-04-30 09:35:25,"@toeslagherstel @missmica9 Doe normaal BD. De postkamer in Heerlen of waar dan ook zegt al jaren 'oepsie nóóit ontvangen' terwijl vele ouders alles meermaals ingestuurd hebben, en dan het lef hebben met je eigen leugen gedupeerden af te wijzen, schaam je! Getekend, je boze ex BTel-collega #toeslagenaffaire",,Twitter for Android,nl,False
Wap Wap Wappie,Netherlands,186,159,False,2021-04-30 09:34:54,"Iedereen mag weten dat ik gestemd heb op @RenskeLeijten van @spnl
1 van de redenen was haar optreden in de #toeslagenaffaire 

Ik neig er echter nu naar te switchen naar @WybrenvanHaga of @geertwilderspvv",,Twitter for iPhone,nl,False
IK,,105,246,False,2021-04-30 09:33:51,Vandaag is een knetter harde dag #toeslagenaffaire @AvHuffelen met je er gaan terechte afwijzingen de deur uit @toeslagherstel @RenskeLeijten @F_azarkan @PieterOmtzigt,['toeslagenaffaire'],Twitter for iPhone,nl,False
